Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.03125,0,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.515625,0,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.10084,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.648438,0,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.75,0,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.217945,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.875,0,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.249716,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.875,2,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.249716,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
1.00781,2,1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.215287,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
1.14063,2,1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.154686,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
1.26563,2,1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.156497,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
1.375,2,1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.139387,0,0,
Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
1.50781,2,1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, ||,0,0,0,0,0.0769051,0,0,
