COUNTER, GYROX, GYROY, GYROZ, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, TIMESTAMP
11,8165,8167,8170,5075,7901,5203,8593,8286,8199,67.1719,
12,8159,8181,8195,5048,7930,5243,8593,8290,8197,71.2207,
13,8162,8172,8187,5028,7950,5202,8589,8285,8199,71.2364,
14,8164,8159,8165,5063,7952,5167,8585,8283,8197,71.2521,
15,8155,8158,8159,5093,7970,5147,8592,8286,8197,71.2678,
16,8142,8155,8167,5105,7941,5142,8589,8284,8200,71.2836,
17,8121,8130,8187,5078,7952,5178,8591,8284,8197,71.2993,
18,8118,8135,8189,5037,7931,5223,8590,8284,8199,71.3151,
19,8116,8124,8186,5025,7925,5229,8591,8284,8195,71.3309,
20,8124,8121,8181,5048,7932,5229,8590,8288,8199,71.3466,
21,8129,8126,8177,5060,7934,5237,8597,8288,8199,71.3624,
22,8135,8140,8173,5003,7907,5231,8593,8287,8201,71.3781,
23,8130,8142,8174,4992,7914,5245,8589,8286,8198,71.3939,
24,8136,8143,8164,5011,7906,5250,8582,8286,8195,71.4097,
25,8146,8157,8140,5049,7919,5225,8592,8293,8200,71.4254,
26,8151,8167,8136,5091,7925,5196,8596,8289,8199,71.4412,
27,8133,8163,8163,5072,7936,5221,8588,8298,8197,71.4569,
28,8138,8174,8164,5038,7931,5242,8589,8286,8197,71.4727,
29,8140,8185,8165,5027,7931,5244,8598,8284,8199,71.4885,
30,8144,8183,8151,5064,7944,5197,8591,8280,8200,71.5042,
31,8144,8185,8152,5095,7961,5183,8589,8285,8200,71.52,
32,8127,8180,8164,5095,7955,5168,8597,8288,8200,71.5357,
33,8124,8182,8177,5041,7932,5185,8589,8286,8201,71.5515,
34,8115,8173,8162,5047,7924,5176,8586,8288,8200,71.5673,
35,8112,8171,8145,5096,7920,5205,8592,8293,8201,71.583,
36,8116,8151,8157,5119,7902,5171,8597,8290,8202,71.5988,
37,8121,8145,8166,5123,7918,5189,8592,8289,8201,71.6145,
38,8116,8153,8175,5042,7903,5259,8590,8286,8202,71.6303,
39,8115,8149,8172,5033,7926,5265,8582,8286,8201,71.6461,
40,8135,8123,8176,5048,7940,5245,8589,8289,8199,71.6618,
41,8139,8122,8170,5044,7954,5175,8587,8293,8200,71.6776,
42,8137,8125,8171,5044,7945,5164,8584,8288,8199,71.6933,
43,8122,8158,8171,5031,7953,5157,8587,8286,8200,71.7091,
44,8117,8175,8177,5021,7941,5157,8589,8292,8201,71.7249,
45,8114,8180,8158,5052,7941,5222,8589,8287,8202,71.7406,
